  45.099    6.616 0
  45.109    6.618 1
  45.117    6.659 1
  45.129    6.660 1
  45.135    6.662 1
  45.135    6.675 1
  45.141    6.697 1
  45.135    6.722 1
  45.137    6.731 1
  45.142    6.742 1
  45.157    6.756 1
  45.143    6.808 1
  45.134    6.823 1
  45.137    6.834 1
  45.131    6.837 1
  45.128    6.844 1
  45.136    6.862 1
  45.143    6.894 1
  45.151    6.893 1
  45.154    6.886 1
  45.159    6.877 1
  45.173    6.886 1
  45.171    6.897 1
  45.172    6.910 1
  45.168    6.921 1
  45.172    6.927 1
  45.174    6.945 1
  45.180    6.951 1
  45.190    6.957 1
  45.197    6.965 1
  45.210    6.974 1
  45.216    7.007 1
  45.215    7.018 1
  45.217    7.029 1
  45.228    7.045 1
  45.215    7.063 1
  45.222    7.082 1
  45.233    7.098 1
  45.242    7.109 1
  45.246    7.119 1
  45.252    7.134 1
  45.263    7.142 1
  45.271    7.135 1
  45.275    7.138 1
  45.283    7.137 1
  45.290    7.136 1
  45.294    7.130 1
  45.308    7.122 1
  45.315    7.117 1
  45.325    7.114 1
  45.333    7.119 1
  45.331    7.132 1
  45.337    7.138 1
  45.345    7.136 1
  45.350    7.139 1
  45.352    7.152 1
  45.360    7.164 1
  45.371    7.163 1
  45.378    7.170 1
  45.388    7.181 1
  45.401    7.190 1
  45.412    7.180 1
  45.418    7.165 1
  45.427    7.154 1
  45.431    7.135 1
  45.438    7.118 1
  45.449    7.113 1
  45.459    7.105 1
  45.466    7.102 1
  45.474    7.113 1
  45.483    7.112 1
  45.490    7.112 1
  45.494    7.118 1
  45.502    7.119 1
  45.508    7.122 1
  45.512    7.125 1
  45.517    7.135 1
  45.516    7.139 1
  45.511    7.139 1
  45.510    7.145 1
  45.507    7.143 1
  45.505    7.139 1
  45.498    7.141 1
  45.490    7.138 1
  45.481    7.140 1
  45.476    7.145 1
  45.481    7.150 1
  45.487    7.155 1
  45.487    7.162 1
  45.484    7.169 1
  45.480    7.175 1
  45.483    7.184 1
  45.482    7.203 1
  45.472    7.209 1
  45.473    7.218 1
  45.470    7.226 1
  45.477    7.232 1
  45.488    7.238 1
  45.496    7.252 1
  45.500    7.263 1
  45.508    7.266 1
  45.514    7.269 1
  45.515    7.275 1
  45.514    7.289 1
  45.518    7.300 1
  45.515    7.310 1
  45.515    7.318 1
  45.518    7.324 1
  45.522    7.332 1
  45.524    7.343 1
  45.526    7.361 1
  45.523    7.367 1
  45.518    7.368 1
  45.516    7.373 1
  45.517    7.378 1
  45.521    7.385 1
  45.528    7.394 1
  45.535    7.398 1
  45.536    7.406 1
  45.540    7.415 1
  45.547    7.415 1
  45.551    7.428 1
  45.554    7.437 1
  45.557    7.451 1
  45.564    7.454 1
  45.571    7.458 1
  45.576    7.464 1
  45.577    7.475 1
  45.582    7.484 1
  45.584    7.493 1
  45.583    7.503 1
  45.580    7.514 1
  45.577    7.523 1
  45.580    7.530 1
  45.586    7.543 1
  45.592    7.564 1
  45.591    7.569 1
  45.591    7.574 1
  45.586    7.581 1
  45.583    7.594 1
  45.581    7.603 1
  45.573    7.608 1
  45.566    7.611 1
  45.564    7.613 1
  45.564    7.617 1
  45.570    7.621 1
  45.569    7.627 1
  45.571    7.634 1
  45.572    7.638 1
  45.570    7.647 1
  45.549    7.677 1
  45.556    7.692 1
  45.555    7.703 1
  45.558    7.721 1
  45.550    7.732 1
  45.552    7.739 1
  45.560    7.746 1
  45.567    7.775 1
  45.576    7.788 1
  45.583    7.795 1
  45.591    7.796 1
  45.597    7.822 1
  45.600    7.838 1
  45.605    7.846 1
  45.602    7.855 1
  45.600    7.866 1
  45.600    7.874 1
  45.601    7.886 1
  45.594    7.899 1
  45.608    7.901 1
  45.610    7.901 1
  45.616    7.900 1
  45.624    7.902 1
  45.630    7.910 1
  45.636    7.916 1
  45.639    7.931 1
  45.639    7.937 1
  45.646    7.942 1
  45.648    7.936 1
  45.650    7.926 1
  45.652    7.926 1
  45.657    7.929 1
  45.661    7.924 1
  45.663    7.923 1
  45.667    7.919 1
  45.671    7.911 1
  45.675    7.911 1
  45.680    7.904 1
  45.687    7.906 1
  45.695    7.916 1
  45.696    7.923 1
  45.699    7.924 1
  45.702    7.926 1
  45.713    7.935 1
  45.717    7.935 1
  45.725    7.932 1
  45.728    7.924 1
  45.732    7.927 1
  45.736    7.925 1
  45.736    7.916 1
  45.747    7.919 1
  45.749    7.897 1
  45.758    7.880 1
  45.769    7.876 1
  45.775    7.875 1
  45.780    7.869 1
  45.791    7.859 1
  45.802    7.863 1
  45.810    7.862 1
  45.823    7.861 1
  45.828    7.872 1
  45.831    7.872 1
  45.836    7.867 1
  45.841    7.861 1
  45.853    7.867 1
  45.856    7.875 1
  45.863    7.875 1
  45.868    7.868 1
  45.899    7.864 1
  45.908    7.868 1
  45.911    7.862 1
  45.915    7.863 1
  45.919    7.865 1
  45.919    7.866 1
  45.920    7.868 1
  45.921    7.870 1
  45.921    7.873 1
  45.921    7.875 1
  45.925    7.877 1
  45.928    7.879 1
  45.929    7.879 1
  45.930    7.879 1
  45.935    7.877 1
  45.936    7.875 1
  45.938    7.874 1
  45.940    7.873 1
  45.950    7.872 1
  45.951    7.879 1
  45.961    7.879 1
  45.964    7.880 1
  45.966    7.883 1
  45.976    7.881 1
  45.978    7.886 1
  45.979    7.889 1
  45.980    7.894 1
  45.980    7.897 1
  45.983    7.897 1
  45.987    7.900 1
  45.988    7.902 1
  45.990    7.904 1
  45.990    7.906 1
  45.993    7.908 1
  45.994    7.908 1
  45.996    7.909 1
  45.998    7.912 1
  45.998    7.913 1
  45.998    7.917 1
  45.997    7.921 1
  45.997    7.924 1
  45.998    7.926 1
  45.998    7.930 1
  45.997    7.933 1
  45.998    7.938 1
  45.999    7.945 1
  45.999    7.950 1
  45.999    7.953 1
  45.999    7.955 1
  45.997    7.960 1
  45.998    7.964 1
  45.999    7.970 1
  46.000    7.974 1
  46.000    7.977 1
  46.000    7.981 1
  46.000    7.983 1
  45.998    7.987 1
  45.998    7.988 1
  45.997    7.991 1
  45.998    7.993 1
  46.002    7.997 1
  46.005    7.999 1
  46.008    8.001 1
  46.010    8.003 1
  46.013    8.003 1
  46.013    8.007 1
  46.013    8.014 1
  46.015    8.015 1
  46.018    8.016 1
  46.021    8.014 1
  46.022    8.014 1
  46.023    8.015 1
  46.025    8.017 1
  46.026    8.019 1
  46.027    8.020 1
  46.028    8.019 1
  46.033    8.016 1
  46.034    8.019 1
  46.037    8.020 1
  46.039    8.023 1
  46.041    8.025 1
  46.042    8.029 1
  46.043    8.031 1
  46.043    8.033 1
  46.044    8.035 1
  46.044    8.036 1
  46.045    8.037 1
  46.046    8.038 1
  46.047    8.038 1
  46.048    8.037 1
  46.051    8.035 1
  46.053    8.034 1
  46.059    8.030 1
  46.066    8.027 1
  46.070    8.026 1
  46.075    8.025 1
  46.076    8.026 1
  46.084    8.032 1
  46.086    8.033 1
  46.088    8.033 1
  46.090    8.033 1
  46.092    8.034 1
  46.094    8.036 1
  46.099    8.037 1
  46.102    8.037 1
  46.102    8.044 1
  46.102    8.047 1
  46.102    8.049 1
  46.104    8.052 1
  46.104    8.055 1
  46.104    8.058 1
  46.104    8.061 1
  46.106    8.064 1
  46.107    8.068 1
  46.107    8.070 1
  46.108    8.074 1
  46.108    8.081 1
  46.107    8.083 1
  46.107    8.084 1
  46.108    8.087 1
  46.110    8.094 1
  46.111    8.101 1
  46.112    8.102 1
  46.112    8.103 1
  46.113    8.106 1
  46.113    8.111 1
  46.116    8.113 1
  46.117    8.114 1
  46.118    8.116 1
  46.119    8.117 1
  46.121    8.118 1
  46.130    8.118 1
  46.132    8.119 1
  46.132    8.120 1
  46.134    8.123 1
  46.136    8.125 1
  46.136    8.126 1
  46.137    8.131 1
  46.138    8.136 1
  46.138    8.139 1
  46.137    8.141 1
  46.137    8.141 1
  46.137    8.143 1
  46.138    8.145 1
  46.140    8.148 1
  46.141    8.150 1
  46.145    8.154 1
  46.151    8.157 1
  46.154    8.155 1
  46.156    8.154 1
  46.157    8.154 1
  46.160    8.152 1
  46.162    8.152 1
  46.164    8.153 1
  46.166    8.154 1
  46.168    8.156 1
  46.171    8.158 1
  46.172    8.160 1
  46.174    8.161 1
  46.177    8.162 1
  46.177    8.163 1
  46.179    8.167 1
  46.180    8.168 1
  46.183    8.169 1
  46.184    8.168 1
  46.186    8.168 1
  46.188    8.167 1
  46.190    8.165 1
  46.193    8.160 1
  46.195    8.155 1
  46.200    8.153 1
  46.205    8.152 1
  46.207    8.152 1
  46.209    8.151 1
  46.210    8.149 1
  46.212    8.147 1
  46.214    8.145 1
  46.215    8.144 1
  46.217    8.144 1
  46.226    8.141 1
  46.229    8.140 1
  46.229    8.138 1
  46.229    8.135 1
  46.229    8.134 1
  46.231    8.127 1
  46.233    8.126 1
  46.237    8.123 1
  46.238    8.122 1
  46.238    8.119 1
  46.239    8.117 1
  46.239    8.116 1
  46.241    8.115 1
